2025-05-06 19:32:39,756 INFO: Avvio MeshDash con porta='COM3', refresh=10000ms, log=INFO
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-06 19:32:39,787 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\FedericoBruni\\AppData\\Roaming\\Python\\Python312\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
